source_image,x,y,label,annotator,notes
D16_03_1_7_Bright Field_001_LHi (101).jpg,728,1814,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (83).jpg,495,1212,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (96).jpg,412,1295,sickle,UG,
I20_03_1_10_Bright Field_001.jpg,309,1406,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (70).jpg,509,244,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,1722,1165,sickle,UG,multiple sickle
H20_03_1_1_Bright Field_001.jpg,200,1233,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (150).jpg,1200,457,sickle,UG,
K20_03_1_12_Bright Field_002.jpg,1720,1446,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,1654,1354,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (150).jpg,1017,47,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (109).jpg,1245,1836,sickle,UG,
K20_03_1_15_Bright Field_002.jpg,353,1854,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (92).jpg,1448,1105,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,1348,1178,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (27).jpg,1393,1071,sickle,UG,
H20_03_1_6_Bright Field_002.jpg,276,585,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (135).jpg,90,1465,sickle,UG,
I20_03_1_14_Bright Field_002.jpg,650,1489,sickle,UG,nearby debris
K20_03_1_9_Bright Field_002.jpg,269,618,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (171).jpg,530,1255,sickle,UG,
K20_03_1_13_Bright Field_002.jpg,367,1084,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (58).jpg,1266,448,sickle,UG,
I20_03_1_15_Bright Field_002.jpg,1019,988,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (12).jpg,1191,903,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (160).jpg,464,192,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,824,593,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (76).jpg,1659,221,sickle,UG,
J20_03_1_4_Bright Field_002.jpg,1059,784,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,228,451,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (49).jpg,639,1633,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (53).jpg,556,1753,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (98).jpg,434,1010,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (2).jpg,1671,424,sickle,UG,multiple sickle
J20_03_1_4_Bright Field_002.jpg,1634,1320,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (145).jpg,505,773,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,668,1228,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (96).jpg,563,1565,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (110).jpg,1469,1702,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,568,1303,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (24).jpg,288,988,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (76).jpg,1077,1134,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (152).jpg,602,626,sickle,UG,multiple sickle
H20_03_1_1_Bright Field_002.jpg,688,659,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (14).jpg,1049,1464,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,868,807,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (50).jpg,1119,1293,sickle,UG,multiple sickle
I20_03_1_4_Bright Field_002.jpg,1633,338,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,248,296,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (163).jpg,439,342,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (9).jpg,1139,1319,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (74).jpg,416,1408,sickle,UG,multiple sickle
K20_03_1_14_Bright Field_001.jpg,1842,1814,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (143).jpg,1093,1321,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (149).jpg,503,645,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (62).jpg,473,764,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (22).jpg,1789,143,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (159).jpg,1268,1020,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (118).jpg,397,1057,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (167).jpg,1058,1250,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,413,70,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,820,1275,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (138).jpg,557,1566,sickle,UG,
J20_03_1_4_Bright Field_001.jpg,802,950,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (118).jpg,672,1670,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (160).jpg,929,106,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (173).jpg,778,942,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,1480,1039,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (98).jpg,1213,1251,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (19).jpg,567,1500,sickle,UG,
K20_03_1_5_Bright Field_002.jpg,1023,681,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (146).jpg,564,761,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,472,609,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (76).jpg,321,1320,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (122).jpg,240,1059,sickle,UG,
J20_03_1_4_Bright Field_002.jpg,1395,452,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (166).jpg,548,354,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (82).jpg,1590,1367,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,1643,203,sickle,UG,
J20_03_1_6_Bright Field_001.jpg,667,652,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (40).jpg,398,1447,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (46).jpg,883,1061,sickle,UG,multiple sickle
I20_03_1_12_Bright Field_001.jpg,1358,1005,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,1836,565,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (126).jpg,127,1509,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (172).jpg,1866,1102,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (173).jpg,790,1535,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (166).jpg,1840,1288,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (24).jpg,306,93,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (132).jpg,1334,1496,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (132).jpg,1886,464,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (78).jpg,149,447,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (104).jpg,1065,216,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (108).jpg,1835,1433,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (172).jpg,1648,1476,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (151).jpg,1873,643,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (170).jpg,1524,948,sickle,UG,
G21_03_1_12_Bright Field_002.jpg,1287,1450,non_sickle,UG,nearby debris
I20_03_1_9_Bright Field_002.jpg,905,1595,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (162).jpg,1399,983,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (171).jpg,151,1061,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (105).jpg,255,508,sickle,UG,
H20_03_1_13_Bright Field_002.jpg,1378,1385,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (12).jpg,1305,523,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (82).jpg,1921,1574,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (175).jpg,980,1359,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (172).jpg,292,1307,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (96).jpg,1070,1775,sickle,UG,
G21_03_1_8_Bright Field_002.jpg,1755,1835,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,1690,760,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,1104,849,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (173).jpg,1461,1636,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (6).jpg,679,1841,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (174).jpg,828,1493,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (46).jpg,337,1270,sickle,UG,
K20_03_1_5_Bright Field_002.jpg,135,1500,sickle,UG,
J20_03_1_4_Bright Field_001.jpg,1310,429,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (134).jpg,615,802,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (157).jpg,369,1914,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (83).jpg,928,1805,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,1854,603,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (102).jpg,306,397,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (145).jpg,759,1338,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,701,580,sickle,UG,multiple sickle
J20_03_1_5_Bright Field_002.jpg,506,1145,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (146).jpg,757,1330,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (82).jpg,330,1765,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (153).jpg,1300,675,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (146).jpg,403,915,sickle,UG,multiple sickle
I20_03_1_15_Bright Field_001.jpg,1614,1471,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (61).jpg,482,161,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (123).jpg,979,163,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,1811,1414,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (61).jpg,562,1540,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (174).jpg,910,851,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (4).jpg,120,411,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (26).jpg,787,943,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (28).jpg,1888,782,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (30).jpg,248,236,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,705,236,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (8).jpg,1864,987,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (110).jpg,247,1498,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (113).jpg,1099,1518,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (80).jpg,401,1306,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (95).jpg,352,1304,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (12).jpg,1084,1276,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (137).jpg,1042,1682,sickle,UG,
K20_03_1_15_Bright Field_002.jpg,111,1063,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (154).jpg,1276,1115,sickle,UG,
J20_03_1_8_Bright Field_001.jpg,1835,136,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (82).jpg,227,1237,sickle,UG,multiple sickle
G21_03_1_12_Bright Field_002.jpg,1372,880,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (164).jpg,1011,1288,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (74).jpg,1876,1307,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (133).jpg,989,394,sickle,UG,
J20_03_1_4_Bright Field_002.jpg,1495,767,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (168).jpg,305,1292,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (22).jpg,243,1782,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (168).jpg,287,1579,sickle,UG,
J20_03_1_3_Bright Field_002.jpg,202,1606,sickle,UG,
K20_03_1_10_Bright Field_001.jpg,303,1641,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (78).jpg,1421,1598,sickle,UG,
G21_03_1_9_Bright Field_002.jpg,768,1367,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (156).jpg,564,1485,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (22).jpg,1508,596,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (159).jpg,417,198,sickle,UG,multiple sickle
G21_03_1_10_Bright Field_002.jpg,409,1888,sickle,UG,multiple sickle
I20_03_1_16_Bright Field_002.jpg,758,1800,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (134).jpg,1565,1301,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,456,664,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (164).jpg,1124,1373,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (142).jpg,977,1362,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (32).jpg,446,261,sickle,UG,multiple sickle
H20_03_1_1_Bright Field_002.jpg,312,1261,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (86).jpg,1265,581,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (88).jpg,242,773,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (165).jpg,1852,1648,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (8).jpg,455,1460,sickle,UG,
H20_03_1_1_Bright Field_002.jpg,167,1466,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (132).jpg,1772,829,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (1).jpg,1617,389,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (65).jpg,1435,1104,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (80).jpg,425,1734,sickle,UG,
J20_03_1_15_Bright Field_001.jpg,83,1898,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (46).jpg,1080,1547,sickle,UG,
G21_03_1_9_Bright Field_002.jpg,624,1640,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (147).jpg,966,744,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (159).jpg,263,1102,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (76).jpg,1573,941,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (111).jpg,1320,1795,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (122).jpg,367,259,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,375,1036,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (21).jpg,297,1552,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (90).jpg,459,328,sickle,UG,multiple sickle
H20_03_1_13_Bright Field_001.jpg,310,586,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,1584,1233,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (19).jpg,1781,1152,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,693,1459,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (154).jpg,1421,1727,sickle,UG,
K20_03_1_15_Bright Field_002.jpg,1242,1555,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (92).jpg,897,719,sickle,UG,
K20_03_1_1_Bright Field_002.jpg,137,911,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (150).jpg,1236,1358,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (150).jpg,253,1844,sickle,UG,
J20_03_1_3_Bright Field_002.jpg,1731,699,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (124).jpg,862,167,sickle,UG,
I20_03_1_16_Bright Field_001.jpg,745,1794,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (48).jpg,1088,1123,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (176).jpg,255,1031,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (44).jpg,772,1403,sickle,UG,
I20_03_1_16_Bright Field_002.jpg,680,1707,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (174).jpg,1614,1594,sickle,UG,
H20_03_1_12_Bright Field_002.jpg,505,1709,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (114).jpg,1099,995,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,693,1039,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (44).jpg,151,720,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (162).jpg,1733,657,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (95).jpg,904,1545,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (144).jpg,557,1868,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,454,657,sickle,UG,
H20_03_1_6_Bright Field_001.jpg,235,1444,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (176).jpg,1664,1567,sickle,UG,multiple sickle
H20_03_1_13_Bright Field_001.jpg,1391,1414,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (103).jpg,691,133,sickle,UG,multiple sickle
J20_03_1_7_Bright Field_002.jpg,778,1828,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (134).jpg,130,1699,sickle,UG,
K20_03_1_1_Bright Field_002.jpg,178,1121,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (167).jpg,1673,1845,sickle,UG,
H20_03_1_13_Bright Field_002.jpg,290,584,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (93).jpg,631,1204,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (52).jpg,131,1826,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (58).jpg,1635,878,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (175).jpg,1485,1608,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (148).jpg,1117,1877,sickle,UG,multiple sickle
K20_03_1_15_Bright Field_002.jpg,712,1172,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (166).jpg,385,217,sickle,UG,multiple sickle
I20_03_1_9_Bright Field_001.jpg,132,1249,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (174).jpg,491,1037,sickle,UG,
I20_03_1_16_Bright Field_001.jpg,678,1709,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (158).jpg,1335,676,non_sickle,UG,exogenous polymer
G21_03_1_14_Bright Field_002.jpg,235,660,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (92).jpg,1826,1051,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (14).jpg,250,875,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (91).jpg,1280,595,sickle,UG,
K20_03_1_9_Bright Field_001.jpg,887,1602,sickle,UG,
J20_03_1_16_Bright Field_002.jpg,709,1842,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (170).jpg,112,804,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (86).jpg,953,219,sickle,UG,
I20_03_1_8_Bright Field_001.jpg,1893,1445,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (28).jpg,1592,1854,sickle,UG,
H20_03_1_4_Bright Field_002.jpg,1514,427,sickle,UG,
K20_03_1_6_Bright Field_002.jpg,136,818,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (27).jpg,1734,1015,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (163).jpg,1493,1876,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (130).jpg,769,1716,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (126).jpg,659,132,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (54).jpg,661,1725,sickle,UG,
K20_03_1_10_Bright Field_001.jpg,1565,1531,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (125).jpg,1187,1820,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (36).jpg,1582,323,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (109).jpg,556,495,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (66).jpg,159,1810,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (118).jpg,703,1861,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (6).jpg,324,1105,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (80).jpg,528,887,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (3).jpg,75,398,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (94).jpg,197,1422,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (5).jpg,1258,1572,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,958,1285,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (156).jpg,1499,582,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,598,576,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (56).jpg,921,1623,sickle,UG,
I20_03_1_12_Bright Field_002.jpg,1152,1606,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (81).jpg,742,1486,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (153).jpg,641,222,sickle,UG,
K20_03_1_11_Bright Field_001.jpg,1682,1969,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (59).jpg,1494,1286,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (54).jpg,865,139,sickle,UG,
K20_03_1_5_Bright Field_002.jpg,523,1499,sickle,UG,
G21_03_1_9_Bright Field_002.jpg,855,1542,sickle,UG,
H20_03_1_13_Bright Field_002.jpg,175,1316,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (172).jpg,658,790,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,719,245,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (151).jpg,1214,1065,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (53).jpg,792,113,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (14).jpg,179,236,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (82).jpg,902,1375,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,1281,1431,sickle,UG,
H20_03_1_1_Bright Field_001.jpg,585,671,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (126).jpg,687,306,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (168).jpg,647,779,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (54).jpg,463,1679,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (74).jpg,558,1641,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (172).jpg,1267,1027,sickle,UG,
