jpg_filename,source_stem,grid_row,grid_col,eval_h,eval_w,eval_diag_px,n_manual_polymers,n_model_ccs,n_matched_pairs,manual_total_len_px,model_skeleton_total_px,model_major_axis_total_px
K20_03_1_3_Bright Field_001__y864_x1478_h64_w64.jpg,K20_03_1_3_Bright Field_001,8,9,64,64,90.50966799187809,4,6,4,62.543871420628086,72,95.99778458574801
K20_03_1_9_Bright Field_002__y1449_x817_h106_w106.jpg,K20_03_1_9_Bright Field_002,9,9,106,106,149.90663761154806,2,2,2,127.60181525411281,113,121.81753961803429
K20_03_1_1_Bright Field_002__y652_x284_h128_w128.jpg,K20_03_1_1_Bright Field_002,8,8,128,128,181.01933598375618,1,1,1,93.74433316206373,85,98.57182342289275
K20_03_1_9_Bright Field_001__y1512_x801_h127_w127.jpg,K20_03_1_9_Bright Field_001,9,8,127,127,179.60512242138307,2,3,2,174.27235992947266,163,214.39620970817452
K20_03_1_8_Bright Field_002__y1028_x1666_h100_w100.jpg,K20_03_1_8_Bright Field_002,9,7,100,100,141.4213562373095,1,1,1,49.47726750741192,48,52.69367845872357
J20_03_1_5_Bright Field_001__y184_x417_h93_w93.jpg,J20_03_1_5_Bright Field_001,7,6,93,93,131.52186130069785,1,1,1,55.54277630799526,45,51.184295313605254
K20_03_1_11_Bright Field_002__y1163_x1031_h93_w93.jpg,K20_03_1_11_Bright Field_002,8,6,93,93,131.52186130069785,2,2,2,72.296860285218,69,91.38380818332999
K20_03_1_7_Bright Field_001__y1534_x1146_h93_w93.jpg,K20_03_1_7_Bright Field_001,9,6,93,93,131.52186130069785,1,1,1,44.94441010848846,41,54.84759000139082
K20_03_1_6_Bright Field_001__y935_x516_h73_w73.jpg,K20_03_1_6_Bright Field_001,9,5,73,73,103.23759005323593,1,1,1,25.238858928247925,22,30.371293600376216
K20_03_1_11_Bright Field_001__y1163_x1048_h65_w65.jpg,K20_03_1_11_Bright Field_001,8,5,65,65,91.92388155425118,2,1,1,58.0147027033899,54,42.421181802401485
J20_03_1_4_Bright Field_002__y787_x1049_h67_w67.jpg,J20_03_1_4_Bright Field_002,7,5,67,67,94.75230867899737,2,2,2,49.12338825956576,48,68.83402149836063
J20_03_1_4_Bright Field_001__y629_x915_h118_w118.jpg,J20_03_1_4_Bright Field_001,7,4,118,118,166.87720036002523,2,2,2,130.65952013319497,120,141.6138601996742
K20_03_1_5_Bright Field_002__y657_x919_h111_w111.jpg,K20_03_1_5_Bright Field_002,9,4,111,111,156.97770542341354,2,1,1,116.4930795545786,87,61.77920795288878
K20_03_1_10_Bright Field_002__y1000_x1304_h64_w64.jpg,K20_03_1_10_Bright Field_002,8,4,64,64,90.50966799187809,2,2,2,54.755652669765894,37,49.688577152363145
K20_03_1_5_Bright Field_001__y1840_x1056_h64_w64.jpg,K20_03_1_5_Bright Field_001,9,3,64,64,90.50966799187809,2,2,2,34.40879357986924,40,54.1582327227855
K20_03_1_4_Bright Field_002__y621_x1180_h101_w101.jpg,K20_03_1_4_Bright Field_002,9,2,101,101,142.8355697996826,1,1,1,66.48308055437865,49,72.9918434140568
K20_03_1_4_Bright Field_001__y887_x1545_h125_w125.jpg,K20_03_1_4_Bright Field_001,9,1,125,125,176.7766952966369,1,1,1,73.68174807915459,79,81.86055086481609
J20_03_1_9_Bright Field_001__y1154_x1280_h80_w80.jpg,J20_03_1_9_Bright Field_001,8,2,80,80,113.13708498984761,2,2,2,60.035162255189036,50,72.10607951205255
J20_03_1_3_Bright Field_001__y777_x723_h91_w91.jpg,J20_03_1_3_Bright Field_001,7,3,91,91,128.69343417595164,3,4,3,143.37103317691432,161,201.39980156174778
J20_03_1_2_Bright Field_001__y651_x1775_h107_w107.jpg,J20_03_1_2_Bright Field_001,7,2,107,107,151.32085117392117,2,2,2,100.83569012380737,76,106.34462272654329
J20_03_1_8_Bright Field_002__y562_x1030_h128_w128.jpg,J20_03_1_8_Bright Field_002,8,1,128,128,181.01933598375618,3,5,3,255.85088579337548,173,206.08979333384588
K20_03_1_3_Bright Field_002__y808_x1526_h76_w76.jpg,K20_03_1_3_Bright Field_002,9,0,76,76,107.48023074035522,3,3,3,49.75598686159331,50,66.6586700710946
J20_03_1_7_Bright Field_002__y1042_x494_h128_w128.jpg,J20_03_1_7_Bright Field_002,8,0,128,128,181.01933598375618,1,1,1,110.30865786510141,77,116.86716291758925
J20_03_1_16_Bright Field_002__y1314_x877_h107_w107.jpg,J20_03_1_16_Bright Field_002,7,0,107,107,151.32085117392117,2,3,2,102.99455273746847,86,110.07939492849266
